,date1,date2
0,1981-02-06 06:50:00,1981-02-08 13:45:00
1,1981-02-08 09:15:00,1981-02-10 23:10:00
2,1981-05-06 19:10:00,1981-05-14 07:30:00
3,1981-06-29 04:00:00,1981-06-30 04:05:00
4,1981-07-23 04:20:00,1981-07-24 20:40:00
5,1981-10-13 02:45:00,1981-10-16 04:05:00
6,1981-11-11 07:15:00,1981-11-14 05:40:00
7,1981-11-14 00:35:00,1981-11-25 02:30:00
8,1982-02-04 19:55:00,1982-02-05 16:15:00
9,1982-04-09 18:50:00,1982-04-12 21:10:00
10,1982-07-12 13:15:00,1982-07-16 21:10:00
11,1982-08-06 15:50:00,1982-08-08 14:00:00
12,1982-09-21 16:40:00,1982-09-23 12:45:00
13,1982-09-26 04:45:00,1982-09-27 21:50:00
14,1982-10-06 04:45:00,1982-10-09 14:40:00
15,1982-10-13 14:35:00,1982-10-15 16:10:00
16,1982-11-21 15:00:00,1982-11-23 07:55:00
17,1982-12-07 04:35:00,1982-12-09 11:55:00
18,1983-01-09 17:35:00,1983-01-11 06:15:00
19,1983-03-12 02:00:00,1983-03-14 19:35:00
20,1983-03-25 00:20:00,1983-03-25 22:40:00
21,1983-04-28 13:40:00,1983-05-02 05:05:00
22,1983-04-28 13:40:00,1983-05-02 05:05:00
23,1983-05-17 00:55:00,1983-05-19 09:45:00
24,1983-06-11 12:00:00,1983-06-17 00:20:00
25,1983-07-23 00:05:00,1983-07-26 15:15:00
26,1983-08-07 11:00:00,1983-08-09 21:50:00
27,1983-11-11 07:30:00,1983-11-14 11:20:00
28,1984-04-24 20:00:00,1984-04-28 22:05:00
29,1984-07-30 04:45:00,1984-08-05 11:05:00
30,1984-10-15 03:25:00,1984-10-25 21:30:00
31,1984-11-14 15:25:00,1984-11-19 15:35:00
32,1985-01-27 14:05:00,1985-01-30 17:10:00
33,1985-02-27 22:25:00,1985-02-28 22:45:00
34,1985-06-09 07:15:00,1985-06-11 19:40:00
35,1985-11-28 12:00:00,1985-12-03 04:35:00
